一 e
深 wt
渡 du
渡 wlru
湖 wfu
湖 wjou
湯 wdem
湯 wdvm
湯 wep
準 bve
準 bvev
準 wvj
溪 ce
溪 ewdo
溪 wewd
溫 wdf
溫 wobf
滑 wqu
滾 wlbk
滾 wlok
滾 wlrk
滾 wluk
滿 m
滿 wrnb
漁 wuf
漂 wcrs
漂 ws
演 sna
演 sneb
演 wna
演 wneb
演 wntb
漸 wck
潑 waxu
潑 wfx
潑 wjk
潑 wjkv
潑 wjqu
潔 wfds
潔 whds
潔 wyo
潭 wcdj
潭 wxj
澆 wqer
澆 wyr
澆 wyyr
激 wp
激 wpdp
激 wpv
灣 wisq
灣 wlfq
灣 wq
灣 wsiq
灣 wsk
灰 lfn
灰 xfn
炎 ffn
炒 fsp
炮 fnl
炮 fnol
炮 lonl
為 bf
為 bwf
為 ewf
為 uwf
為 wa
為 wav
烈 drf
無 ekl
無 gll
無 vf
無 vff
焦 vfa
然 eadf
然 jfa
然 nbaf
然 nraf
然 uadf
煙 fcy
煙 fod
照 ddof
照 df
熊 uf
熊 ufa
熊 ufav
熊 uuff
熊 uuffv
熟 lf
熟 lhzf
熟 lozf
熟 lzzf
熱 jzf
熱 ybyf
熱 yf
熱 yryf
熱 yzf
燒 fqer
燒 fyr
燒 fyyr
燕 rf
燕 rfof
燕 rfv
燕 roff
爭 eej
爭 nej
爺 bxp
爺 bxrb
牆 gwoo
牧 spx
特 sya
狀 gad
狗 qno
狼 qadk
狼 qan
猜 qhu
猴 qpfd
獅 qnv
獅 qpbn
獅 qren
獅 qyen
珍 kbm
班 kk
班 krk
班 kxk
班 kyk
球 kajw
球 kna
球 majw
球 mna
理 kq
理 kqe
琴 kkay
琴 kyv
環 kba
環 kbav
環 kfek
環 kk
環 kon
瓦 wa
瓶 bkw
甘 go
甜 gog
產 lpp
產 lps
產 wls
界 qbr
界 qr
留 ddq
留 oqo
留 oqov
番 mqo
當 nee
當 see
當 snoq
當 so
疼 lbpb
疾 lbvd
疾 ld
疾 lg
病 lb
病 lbe
病 lbeb
病 lbtb
痛 lbt
痛 lbtq
痛 lq
皿 fe
皿 fev
盆 bdf
盆 bf
盆 bfv
益 bebf
益 bf
益 y
盒 aof
盛 afe
盛 aqnf
盛 aqpf
盞 aqaf
盞 kfe
監 rfe
監 rvaf
監 rvef
盤 zf
盤 zfe
盤 zruf
省 sm
省 smo
睡 mge
睡 mgjy
睡 mgry
短 vdd
破 lop
硬 lot
硬 lotx
碗 lonp
確 lon
確 lonv
確 lv
社 rsy
祝 rsor
祥 rh
祥 rhv
祥 rsbh
票 crs
祭 ja
祭 jrs
禮 rsfd
禮 rsl
禮 rsrd
秀 hrp
租 hme
秤 hpj
秩 hsn
移 hcc
程 hc
程 hok
稱 heny
稱 hns
稱 hvs
稱 hvsv
稱 hy
稻 heg
稻 heid
究 nbk
究 nk
究 nrk
窗 nbpc
窗 nbpo
